Genus.species	Random Forest Importance	variable	p value uncorrected	t_value
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospira	0.012248581	ASD	0.66	-0.45
 		GI Score	0.88	0.15
 		change between AZ and CO	0.13	1.54
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Roseburia	0.012301696	ASD	0.27	-1.11
 		GI Score	0.08	1.78
 		change between AZ and CO	0.38	0.88
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.Ruminococcus.	0.012133883	ASD	0.26	-1.13
 		GI Score	0.65	-0.45
 		change between AZ and CO	*  0.01	-2.65
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.__	0.015209238	ASD	0.47	0.72
 		GI Score	0.44	-0.77
 		change between AZ and CO	0.2	-1.3
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.__	0.014101433	ASD	0.62	-0.49
 		GI Score	0.96	-0.05
 		change between AZ and CO	0.38	0.88
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__	0.01925187	ASD	0.23	-1.21
 		GI Score	0.4	-0.84
 		change between AZ and CO	0.89	-0.14
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium	0.012675638	ASD	0.57	0.57
 		GI Score	0.54	0.62
 		change between AZ and CO	*  0.02	2.44
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Gemmiger	0.016727381	ASD	0.21	-1.26
 		GI Score	0.13	1.52
 		change between AZ and CO	0.52	-0.64
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Oscillospira	0.012505457	ASD	0.99	0.02
 		GI Score	0.59	0.54
 		change between AZ and CO	0.58	0.55
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus	0.012641107	ASD	0.59	0.53
 		GI Score	0.7	0.38
 		change between AZ and CO	0.19	1.32
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae..g__	0.017048357	ASD	0.8	-0.25
 		GI Score	0.31	-1.03
 		change between AZ and CO	*  0.02	-2.31
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__	0.028980566	ASD	0.53	0.62
 		GI Score	*  0.01	-2.68
 		change between AZ and CO	*  0	-3.27
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Clostridium	0.022520975	ASD	0.05	1.96
 		GI Score	0.9	0.12
 		change between AZ and CO	*  0.03	-2.26
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Holdemania	0.01153576	ASD	0.15	1.44
 		GI Score	0.42	-0.81
 		change between AZ and CO	0.05	-2.02
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__.Eubacterium.	0.01295874	ASD	0.86	-0.17
 		GI Score	0.26	1.13
 		change between AZ and CO	0.8	-0.25
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Sutterella	0.01965612	ASD	0.07	1.82
 		GI Score	0.37	-0.9
 		change between AZ and CO	0.69	0.4
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.__	0.013700656	ASD	0.34	-0.96
 		GI Score	0.83	-0.21
 		change between AZ and CO	0.13	-1.53
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia	0.020095802	ASD	0.53	0.64
 		GI Score	0.72	0.35
 		change between AZ and CO	0.25	-1.16
